Area,Feature,Description,Status,Priority,LOE,Risk,Roadmap Phase,Dependency,Evidence Source,Evidence Note,Owner,Target,Linear URL,Notes
Scanning and discovery,Public URL scan to visual map,Scan a public website URL and create an editable visual sitemap.,Complete,P0,Done,Low,Current product,,README.md; frontend/src/components/scan/ScanBar.js; frontend/src/marketing/marketingConfig.js,README lists intelligent crawler; marketing feature page describes URL scanning into a visual map.,,,,Core product workflow.
Scanning and discovery,Scan progress tracking,"Show scan progress, states, and errors while a crawl is running.",Complete,P0,Done,Low,Current product,,README.md; frontend/src/components/scan/ScanProgressModal.js; server.js,README lists progress tracking; scan job statuses and modal component exist.,,,,
Scanning and discovery,Scan history,Keep a history of completed scans for later review.,Complete,P1,Done,Low,Current product,Saved map/session data,README.md; frontend/src/components/modals/HistoryModal.js,README lists scan history; HistoryModal component exists.,,,,
Scanning and discovery,Scan result classification,"Classify and surface inactive pages, errors, broken links, files, subdomains, missing pages, duplicates, and orphan pages.",Complete,P1,Done,Medium,Current product,Crawler output normalization,frontend/src/components/reports/ReportDrawer.js; scripts/check-scan-labeling-fixture.js; scripts/check-scan-page-classification.js,Report drawer exposes those categories and targeted scan labeling/classification checks exist.,,,,Keep fixture checks close to future scan changes.
Scanning and discovery,Collapsed/root-only scan safeguards,Detect and flag suspicious collapsed scan results instead of silently treating them as good output.,Complete,P1,Done,Medium,Current product,Scan diagnostics,frontend/src/components/reports/ReportDrawer.js; scripts/check-scan-collapse-fixture.js; frontend/src/utils/scanCompletion.js,Report drawer handles scan_collapsed diagnostics; collapse fixture check exists.,,,,
Scanning and discovery,Authenticated/private page scanning,Scan logged-in or private pages after an authentication pre-check.,Future,P2,L,High,Future scan hardening,Stable auth-session scan flow,docs/authenticated-scan-paused.md; scripts/check-scan-auth-session.js,Feature exists behind flags but is intentionally disabled by default.,,,,Do not treat as shipped until both frontend and backend flags are re-enabled and staged.
Map creation and editing,Blank/manual map creation,Create a map manually without starting from a crawl.,Complete,P1,Done,Low,Current product,,frontend/src/components/modals/CreateMapModal.js; frontend/src/components/modals/CreateMapModal.test.js,Create map modal and tests exist.,,,,
Map creation and editing,Map import,Import supported sitemap/map data into the workspace.,Complete,P1,Done,Medium,Current product,Import parser support,frontend/src/components/modals/ImportModal.js; frontend/src/marketing/marketingConfig.js,Import modal exists and marketing copy says maps can be imported.,,,,Future versions may need clearer import-format inventory.
Map creation and editing,Structure editing,"Move, rename, organize, tag, and annotate pages after a scan or import.",Complete,P0,Done,Low,Current product,Canvas tree data,frontend/src/components/nodes/NodeActionBar.js; frontend/src/components/modals/EditNodeModal.js; frontend/src/marketing/marketingConfig.js,Node action/edit components exist and marketing copy describes structure editing.,,,,
Map creation and editing,Duplicate node/page workflow,Duplicate existing map nodes while preserving placement context.,Complete,P2,Done,Low,Current product,Node action surface,frontend/src/components/nodes/NodeActionBar.js; frontend/src/App.largeMap.test.js,Node actions and large-map duplicate behavior tests exist.,,,,
Map creation and editing,Color coding and legend,Use page colors and a color key to label map meaning.,Complete,P2,Done,Low,Current product,Canvas styling,frontend/src/components/toolbar/ColorKey.js; frontend/src/components/modals/EditColorModal.js; frontend/src/components/toolbar/ColorKey.test.js,Color key and color edit modal exist with tests.,,,,
Map creation and editing,Large-map layout and performance support,Keep large maps navigable and performant through dedicated layout/performance paths.,Complete,P1,Done,Medium,Current product,Canvas layout engine,frontend/src/App.largeMap.test.js; frontend/src/utils/largeMapPerformance.test.js; utils/mapScene.js,Large-map tests and scene utilities exist.,,,,
Map creation and editing,Minimap/viewfinder navigation,Provide a minimap or viewfinder for navigating larger visual maps.,Complete,P1,Done,Medium,Current product,Canvas viewport state,frontend/src/components/minimap/MinimapNavigator.jsx; frontend/src/components/minimap/MinimapNavigator.test.js; frontend/src/components/toolbar/Minimap.js,Minimap navigator and tests exist.,,,,
Images and capture,Page thumbnail capture,Capture and display thumbnail images on node cards.,Complete,P1,Done,Medium,Current product,Screenshot worker/job pipeline,docs/screenshot-pipeline-hardening.md; frontend/src/components/nodes/NodeCard.js; scripts/check-image-capture-job-smoke.js,Screenshot docs describe thumbnails and job smoke check exists.,,,,
Images and capture,Full-page screenshot capture,Capture full-page screenshots for page review and lightbox/download use.,Complete,P1,Done,Medium,Current product,Screenshot worker/job pipeline,docs/screenshot-pipeline-hardening.md; frontend/src/components/modals/ImageOverlay.js,Docs describe full screenshot jobs and overlay component exists.,,,,
Images and capture,Screenshot safety limits and cleanup,"Bound screenshot size, timeout, cache TTL, stale cleanup, and job ownership.",Complete,P1,Done,Medium,Current product,Worker/runtime configuration,docs/screenshot-pipeline-hardening.md; README.md,"Docs list capture limits, cache TTL, cleanup, scoped job endpoints, R2 config, and worker split.",,,,
