Feature,Category,Vellic,FlowMapp,Slickplan,Octopus.do,VisualSitemaps,Screaming Frog,DYNO Mapper,Research Notes,Primary Source URL,Evidence Quote/Note
Live site crawl from URL,Core mapping,Yes,,,,,,,Generate a map from a public website URL.,,
Visual sitemap canvas,Core mapping,Yes,,,,,,,Interactive tree/canvas view for site structure.,,
Auto-generated hierarchy,Core mapping,Yes,,,,,,,Builds hierarchy from crawl results.,,
Manual sitemap editing,Core mapping,Yes,,,,,,,Users can edit maps after generation.,,
Drag/drop page organization,Core mapping,Yes,,,,,,,Supports rearranging map structure.,,
Public-site audit support,Audit,Yes,,,,,,,"Positioned around public, reachable websites.",,
Broken link detection,Audit,Yes,,,,,,,Issue layer/reporting support.,,
Duplicate URL/page detection,Audit,Yes,,,,,,,Issue layer/reporting support.,,
Orphan page detection,Audit,Yes,,,,,,,Issue layer/reporting support.,,
File/resource discovery,Audit,Yes,,,,,,,Finds files in scan context.,,
Subdomain discovery,Audit,Yes,,,,,,,Finds subdomains in scan context.,,
Inactive/dead page indicators,Audit,Yes,,,,,,,Issue layer/reporting support.,,
Issue layers on visual map,Audit,Yes,,,,,,,Shows scan issues in map context.,,
Audit/report drawer,Audit,Yes,,,,,,,Dedicated review/reporting UI.,,
Page thumbnails,Screenshots,Yes,,,,,,,Captures page thumbnails.,,
Full-page screenshots,Screenshots,Yes,,,,,,,Captures full screenshots for pages.,,
Screenshot download/export,Screenshots,Yes,,,,,,,Downloads thumbnails and screenshots.,,
Projects/workspaces,Workflow,Yes,,,,,,,Organizes maps into projects.,,
Saved maps,Workflow,Yes,,,,,,,Maps can be saved and reopened.,,
Scan history,Workflow,Yes,,,,,,,Scan history is supported.,,
Version history,Workflow,Yes,,,,,,,Named versions and timeline support exist.,,
Import sitemap/data,Workflow,Yes,,,,,,,Imports common sitemap formats.,,
Export PNG,Export,Yes,,,,,,,Map export format.,,
Export PDF,Export,Yes,,,,,,,Map export format.,,
Export SVG,Export,Yes,,,,,,,Map export format.,,
Export CSV/JSON,Export,Yes,,,,,,,Structured export formats.,,
Shareable review links,Collaboration,Yes,,,,,,,Maps can be shared for review.,,
Permissioned sharing,Collaboration,Yes,,,,,,,Access levels and policies are supported.,,
Viewer/commenter/editor roles,Collaboration,Yes,,,,,,,Role-based access model.,,
Comments on maps/pages,Collaboration,Yes,,,,,,,Comments attach to review artifacts.,,
Live co-editing,Collaboration,Yes,,,,,,,Live map editing support.,,
Presence indicators,Collaboration,Yes,,,,,,,Active collaborators can be shown.,,
Access requests/invites,Collaboration,Yes,,,,,,,Invite and access request flows exist.,,
Client/stakeholder review workflow,Collaboration,Yes,,,,,,,Built for shared audit/review delivery.,,
Dark mode,UX,Yes,,,,,,,Dark mode support.,,
Authenticated/private site scanning,Scanning limits,Not broad public promise,,,,,,,Do not market as a broad production feature yet.,,
SEO-depth crawler features,Positioning,Not primary,,,,,,,Vellic is not positioned as the deepest SEO spider.,,
Dedicated content planning suite,Positioning,Not primary,,,,,,,Vellic is not positioned as a broad planning suite.,,
